"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","PLANTS Floristic Area","Category","Active Growth Period","Flower Color","Foliage Color","Fruit Color","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Lifespan","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Drought Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Propogated by Container","Seedling Vigor","Palatable Human"
"ARGI","","ARGI","Arundinaria gigantea","giant cane","NA (L48)","Monocot","Spring","","Dark Green","","Rhizomatous","Rapid","","25","Long","Erect","None","Yes","Yes","Yes","Medium","Medium","5.0","6.9","18","Intolerant","-23","","Routinely Available","Yes","","No"
"ARDO4","","ARDO4","Arundo donax","giant reed","NA (L48), HI, PR, VI","Monocot","Spring, Summer, Fall","","Green","","Rhizomatous","Rapid","","9.0","Moderate","Erect","None","No","Yes","Yes","Low","High","4.8","7.0","24","Intermediate","7","Late Spring","Routinely Available","No","","No"
"ASIN","","ASIN","Asclepias incarnata","swamp milkweed","NA (L48, CAN)","Dicot","Spring","Red","Green","Brown","Rhizomatous","Moderate","","4.9","Moderate","Erect","Moderate","No","Yes","Yes","None","High","5.0","8.0","18","Intolerant","-38","Fall","Routinely Available","No","Low","No"
"ASSP","","ASSP","Asclepias speciosa","showy milkweed","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Black","Single Crown","Moderate","","6.0","Long","Erect","Slight","Yes","Yes","Yes","Low","Medium","5.0","7.0","18","Intolerant","-33","Early Summer","Routinely Available","Yes","Medium","No"
"ASTU","","ASTU","Asclepias tuberosa","butterfly milkweed","NA (L48, CAN)","Dicot","Spring and Summer","Orange","Green","Brown","Multiple Stem","Slow","","2.0","Moderate","Erect","None","Yes","Yes","No","High","Low","4.8","6.8","16","Intolerant","-33","Mid Summer","Routinely Available","Yes","Low","No"
"ASTR","","ASTR","Asimina triloba","pawpaw","NA (L48, CAN)","Dicot","Spring and Summer","Purple","Dark Green","Brown","Single Stem","Slow","25","25","Short","Erect","None","Yes","Yes","No","Low","Medium","4.7","7.2","20","Tolerant","-27","Mid Spring","Routinely Available","Yes","Medium","Yes"
"ASAL3","","ASAL3","Aster alpinus","alpine aster","NA (L48, AK, CAN)","Dicot","Spring and Summer","White","Green","Brown","Single Crown","Slow","","0.3","Long","Erect","None","No","Yes","Yes","Medium","Medium","6.0","7.5","15","Intermediate","-28","Early Summer","Routinely Available","Yes","Low","No"
"ASCA11","","ASCA11","Astragalus canadensis","Canadian milkvetch","NA (L48, CAN)","Dicot","Spring, Summer, Fall","White","Green","Brown","Stoloniferous","Moderate","","0.5","Short","Prostrate","Slight","No","Yes","No","Medium","Medium","6.0","8.0","10","Intolerant","-38","Mid Summer","Routinely Available","No","Medium","No"
"ASCI4","","ASCI4","Astragalus cicer","chickpea milkvetch","NA (L48, AK, CAN)","Dicot","Spring and Summer","White","Green","Yellow","Rhizomatous","Moderate","","3.0","Moderate","Decumbent","Slight","No","Yes","Yes","Medium","High","6.0","8.5","16","Intolerant","-43","Early Summer","Routinely Available","No","Medium","No"
"ATFI","","ATFI","Athyrium filix-femina","common ladyfern","NA (L48, AK, CAN, GL, SPM)","Fern","Spring, Summer, Fall","","Green","","Rhizomatous","Moderate","","3.0","Long","Semi-Erect","None","No","Yes","No","Low","Medium","4.5","7.0","12","Tolerant","-38","","Routinely Available","Yes","","No"
"ATCA2","","ATCA2","Atriplex canescens","fourwing saltbush","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Green","Multiple Stem","Slow","4","4.0","Moderate","Semi-Erect","None","Yes","Yes","Yes","High","Medium","6.5","9.5","20","Intolerant","-43","Late Spring","Routinely Available","Yes","High","No"
"ATCO","","ATCO","Atriplex confertifolia","shadscale saltbush","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Multiple Stem","Slow","3","3.0","Moderate","Semi-Erect","None","Yes","Yes","Yes","High","Medium","7.5","9.0","10","Intolerant","-38","Early Summer","Routinely Available","Yes","Low","No"
"ATGA","","ATGA","Atriplex gardneri","Gardner's saltbush","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Gray-Green","Brown","Multiple Stem","Slow","4","4.0","Long","Semi-Erect","None","Yes","Yes","Yes","High","Low","6.6","9.0","20","Intolerant","-38","Late Summer","Routinely Available","Yes","Medium","No"
"ATLE","","ATLE","Atriplex lentiformis","big saltbush","NA (L48), HI","Dicot","Spring and Summer","Yellow","Green","Brown","Multiple Stem","Moderate","10","10","Moderate","Semi-Erect","None","No","Yes","No","High","Low","7.0","10.0","20","Intolerant","7","Early Summer","Routinely Available","Yes","Medium","No"
"ATNU","","ATNU","Atriplex nummularia","bluegreen saltbush","NA (L48)","Dicot","Spring and Fall","Yellow","Gray-Green","Brown","Single Stem","Slow","9","9.0","Long","Erect","None","Yes","Yes","No","High","Low","6.0","9.0","20","Intolerant","-8","Winter","Routinely Available","Yes","Low","No"
"AVSA","","AVSA","Avena sativa","common oat","NA (L48, AK, CAN, GL, SPM), HI, PR","Monocot","Spring and Summer","Yellow","Green","Brown","Bunch","Rapid","","2.0","","Erect","None","Yes","Yes","Yes","Low","Medium","5.3","8.5","8","Intolerant","-23","Late Spring","Routinely Available","No","High","Yes"
"AVGE","","AVGE","Avicennia germinans","black mangrove","NA (L48), PR, VI","Dicot","Year Round","White","Dark Green","Green","Single Stem","Rapid","50","30","Long","Vase","Slight","No","Yes","Yes","Low","High","6.0","8.0","24","Intolerant","10","Indeterminate","Routinely Available","Yes","High","No"
"BAHA","","BAHA","Baccharis halimifolia","eastern baccharis","NA (L48)","Dicot","Spring, Summer, Fall","White","Dark Green","White","Multiple Stem","Moderate","10","10","Moderate","Erect","None","Yes","Yes","Yes","Low","High","5.5","7.8","20","Intermediate","-3","Late Summer","Routinely Available","Yes","Low","No"
"BAPI","","BAPI","Baccharis pilularis","coyotebrush","NA (L48)","Dicot","Spring and Summer","White","Green","Brown","Multiple Stem","Moderate","10","10","Long","Prostrate","None","Yes","Yes","No","High","Low","6.0","8.5","20","Intolerant","22","Late Summer","Routinely Available","Yes","Low","No"
"BASA4","","BASA4","Baccharis salicifolia","mule-fat","NA (L48)","Dicot","Summer","Yellow","Yellow-Green","White","Multiple Stem","Rapid","10","10","Short","Erect","None","Yes","Yes","Yes","Low","Medium","7.0","8.5","12","Intolerant","-3","Mid Spring","Routinely Available","Yes","High","No"
"BASA3","","BASA3","Balsamorhiza sagittata","arrowleaf balsamroot","NA (L48, CAN)","Dicot","Spring","Yellow","Green","Brown","Multiple Stem","Moderate","","2.0","Long","Erect","None","No","Yes","Yes","High","Medium","6.5","8.0","14","Intermediate","-38","Late Spring","Routinely Available","No","Low","No"
"BAVU2","","BAVU2","Bambusa vulgaris","common bamboo","NA (L48), HI, PR, VI","Monocot","Year Round","Brown","Green","","Bunch","Rapid","","50","Long","Erect","None","Yes","Yes","Yes","Medium","Medium","4.0","7.0","24","Intolerant","17","Indeterminate","Routinely Available","Yes","","No"
"BAMA5","","BAMA5","Batis maritima","turtleweed","NA (L48), HI, PR, VI","Dicot","Spring","Green","Green","","Stoloniferous","Moderate","","0.1","Moderate","Prostrate","None","Yes","Yes","Yes","Medium","Medium","4.0","7.9","6","Intolerant","17","Late Spring","Routinely Available","Yes","Low","No"
"BEJU4","","BEJU4","Berberis julianae","wintergreen barberry","NA (L48)","Dicot","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEJU4","BEJU3","BEJU3","Berberis julianiae","","","","Spring and Summer","Yellow","Red","Black","Multiple Stem","Moderate","7","7.0","Moderate","Semi-Erect","None","Yes","Yes","No","High","Medium","5.0","7.5","14","Intolerant","-3","Mid Spring","Routinely Available","Yes","Medium","Yes"
"BETH","","BETH","Berberis thunbergii","Japanese barberry","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Dark Green","Red","Multiple Stem","Moderate","6","6.0","Moderate","Rounded","None","Yes","Yes","Yes","Low","Medium","5.5","7.2","18","Intolerant","-28","Late Spring","Routinely Available","Yes","Medium","No"
"BENI","","BENI","Betula nigra","river birch","NA (L48)","Dicot","Spring and Summer","Brown","Green","Brown","Multiple Stem","Rapid","35","70","Short","Erect","None","Yes","Yes","Yes","Low","High","3.0","6.5","20","Intolerant","-31","Mid Spring","Routinely Available","Yes","High","No"
"BEOC2","","BEOC2","Betula occidentalis","water birch","NA (L48, AK, CAN)","Dicot","Spring and Summer","Yellow","Green","Brown","Multiple Stem","Rapid","25","25","Short","Erect","None","Yes","Yes","Yes","Low","High","5.5","7.8","20","Intermediate","-62","Mid Spring","Routinely Available","Yes","Medium","No"
"BEPA","","BEPA","Betula papyrifera","paper birch","NA (L48, AK, CAN, SPM)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Rapid","40","70","Moderate","Erect","None","Yes","Yes","Yes","Low","High","4.2","7.4","24","Intolerant","-62","Mid Spring","Routinely Available","Yes","Medium","Yes"
"BEPE3","","BEPE3","Betula pendula","European white birch","NA (L48, CAN)","Dicot","Spring and Summer","Brown","Green","Brown","Thicket Forming","Rapid","40","60","Short","Erect","None","Yes","Yes","Yes","Low","High","5.0","7.5","24","Intolerant","-33","Mid Spring","Routinely Available","Yes","Medium","No"
"BEPO","","BEPO","Betula populifolia","gray birch","NA (L48, CAN)","Dicot","Spring and Summer","Brown","Green","Brown","Thicket Forming","Rapid","25","25","Short","Erect","None","Yes","Yes","Yes","Medium","Low","3.5","6.5","18","Intermediate","-35","Mid Spring","Routinely Available","Yes","Medium","No"
"BEPU4","","BEPU4","Betula pumila","bog birch","NA (L48, CAN, SPM)","Dicot","Spring and Summer","Yellow","Dark Green","","Multiple Stem","Moderate","20","20","Short","Semi-Erect","None","No","Yes","Yes","Low","Medium","5.1","8.5","18","Intolerant","-38","Mid Spring","Routinely Available","Yes","Medium","No"
"BIAR","","BIAR","Bidens aristosa","bearded beggarticks","NA (L48, CAN)","Dicot","Spring, Summer, Fall","Yellow","Green","Brown","Single Crown","Rapid","","3.5","","Erect","None","No","Yes","Yes","Low","High","5.0","7.0","8","Intermediate","52","Late Summer","Routinely Available","No","High","No"
"BICE","","BICE","Bidens cernua","nodding beggartick","NA (L48, AK, CAN)","Dicot","Spring, Summer, Fall","Yellow","Green","Purple","Single Crown","Rapid","","3.2","","Erect","None","Yes","Yes","Yes","Low","High","5.1","7.0","8","Intermediate","47","Late Summer","Routinely Available","No","High","No"
"BICO5","","BICO5","Bidens connata","purplestem beggarticks","NA (L48, CAN)","Dicot","Spring, Summer, Fall","Yellow","Green","Purple","Single Crown","Rapid","","3.2","","Erect","None","Yes","Yes","Yes","Low","High","5.2","7.1","8","Intermediate","47","Late Summer","Routinely Available","No","High","No"
"BICO","","BICO","Bidens coronata","crowned beggarticks","NA (L48, CAN)","Dicot","Spring, Summer, Fall","Yellow","Green","Brown","Single Crown","Rapid","","3.4","","Erect","None","Yes","Yes","Yes","Low","High","5.2","7.1","8","Intermediate","52","Late Summer","Routinely Available","No","High","No"
"BIFR","","BIFR","Bidens frondosa","devil's beggartick","NA (L48, AK, CAN)","Dicot","Spring, Summer, Fall","Yellow","Green","Brown","Single Crown","Rapid","","4.0","","Erect","None","Yes","Yes","No","Low","Medium","5.2","7.2","8","Intermediate","47","Late Summer","Routinely Available","No","Medium","No"
"BILA","","BILA","Bidens laevis","smooth beggartick","NA (L48)","Dicot","Spring, Summer, Fall","Yellow","Green","Brown","Single Crown","Rapid","","3.3","Short","Erect","None","Yes","Yes","Yes","Low","High","5.0","7.0","8","Intermediate","52","Late Summer","Routinely Available","No","High","No"
"BOFL3","","BOFL3","Bolboschoenus fluviatilis","river bulrush","NA (L48, CAN)","Monocot","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOFL3","SCFL11","SCFL11","Schoenoplectus fluviatilis","","","","Summer","Brown","Green","Brown","Rhizomatous","Moderate","","6.6","Long","Erect","None","No","Yes","Yes","Low","Medium","4.0","7.5","16","Intolerant","-38","Mid Summer","Routinely Available","No","Medium","No"
"BOMA7","","BOMA7","Bolboschoenus maritimus","cosmopolitan bulrush","NA (L48, AK, CAN, SPM), HI","Monocot","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOMA7","SCMA8","SCMA8","Schoenoplectus maritimus","","","","Summer","Green","Green","Brown","Rhizomatous","Moderate","","3.2","Long","Erect","None","Yes","Yes","Yes","Low","Medium","4.0","7.0","12","Intolerant","-23","Late Summer","Routinely Available","No","Medium","No"
"BORO5","","BORO5","Bolboschoenus robustus","sturdy bulrush","NA (L48)","Monocot","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BORO5","SCRO5","SCRO5","Schoenoplectus robustus","","","","Summer","Red","Green","Brown","Rhizomatous","Rapid","","4.9","Long","Erect","None","No","Yes","Yes","Low","High","6.4","8.4","16","Intolerant","7","Late Summer","Routinely Available","No","High","No"
"BOAS","","BOAS","Boltonia asteroides","white doll's daisy","NA (L48, CAN)","Dicot","Summer","White","Green","Brown","Single Crown","Rapid","","8.0","Moderate","Erect","None","Yes","Yes","No","Low","Medium","5.3","7.0","12","Intermediate","-38","Mid Summer","Routinely Available","No","High","No"
"BOFR","","BOFR","Borrichia frutescens","bushy seaside tansy","NA (L48)","Dicot","Spring","Yellow","Green","Black","Rhizomatous","Rapid","","2.6","Moderate","Erect","None","Yes","Yes","Yes","Low","Medium","6.1","7.5","14","Intolerant","17","Indeterminate","Routinely Available","Yes","High","No"
"BOBA3","","BOBA3","Bothriochloa barbinodis","cane bluestem","NA (L48), HI","Monocot","Summer and Fall","Yellow","Green","Brown","Bunch","Rapid","","4.0","Short","Erect","None","Yes","Yes","No","High","Medium","7.0","8.2","10","Intolerant","2","Indeterminate","Routinely Available","No","Medium","No"
"BOBL","","BOBL","Bothriochloa bladhii","Caucasian bluestem","NA (L48), HI","Monocot","Summer","Yellow","Green","Brown","Bunch","Rapid","","3.0","Moderate","Semi-Erect","None","No","Yes","No","High","Medium","5.0","8.0","18","Intolerant","-23","Mid Summer","Routinely Available","No","High","No"
"BOISI","","BOISI","Bothriochloa ischaemum var. ischaemum","yellow bluestem","NA (L48)","Monocot","Summer","Yellow","Green","Brown","Bunch","Rapid","","2.0","Moderate","Semi-Erect","None","No","Yes","No","Medium","Medium","5.0","8.5","12","Intolerant","-3","Mid Summer","Routinely Available","No","Medium","No"
"BOPE2","","BOPE2","Bothriochloa pertusa","pitted beardgrass","NA (L48), HI, PR, VI","Monocot","Spring and Summer","Yellow","Green","Brown","Stoloniferous","Rapid","","3.0","Moderate","Decumbent","None","Yes","Yes","Yes","High","Low","5.0","7.5","12","Intolerant","17","Indeterminate","Routinely Available","No","Medium","No"
"BOCU","","BOCU","Bouteloua curtipendula","sideoats grama","NA (L48, CAN), HI","Monocot","Summer","Yellow","Green","Brown","Rhizomatous","Moderate","","3.0","Moderate","Erect","None","Yes","Yes","Yes","Medium","Medium","5.5","8.5","12","Intolerant","-43","Mid Spring","Routinely Available","No","Medium","No"
"BODA2","","BODA2","Bouteloua dactyloides","buffalograss","NA (L48, CAN)","Monocot","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BODA2","BUDA","BUDA","Buchloe dactyloides","","","","Summer","Yellow","Gray-Green","Brown","Stoloniferous","Moderate","","0.5","Long","Decumbent","None","No","Yes","Yes","High","Medium","6.5","8.0","12","Intolerant","-38","Mid Summer","Routinely Available","No","High","No"
"BOER4","","BOER4","Bouteloua eriopoda","black grama","NA (L48)","Monocot","Summer and Fall","Yellow","Green","Brown","Stoloniferous","Moderate","","2.0","Moderate","Decumbent","None","Yes","Yes","No","High","Low","7.0","8.7","12","Intolerant","-23","Mid Spring","Routinely Available","No","Medium","No"
"BOGR2","","BOGR2","Bouteloua gracilis","blue grama","NA (L48, CAN)","Monocot","Summer and Fall","Yellow","Gray-Green","Brown","Bunch","Rapid","","1.0","Moderate","Erect","None","Yes","Yes","Yes","High","Medium","6.6","8.4","16","Intolerant","-43","Early Summer","Routinely Available","No","Low","No"
"BRRA","","BRRA","Brassica rapa","field mustard","NA (L48, AK, CAN, GL), HI","Dicot","Spring, Summer, Fall","","Green","Brown","Single Crown","Rapid","","3.0","","Erect","None","Yes","Yes","Yes","Low","High","5.0","8.0","12","Intermediate","-13","Late Spring","Routinely Available","No","High","Yes"
"BRPI4","","BRPI4","Bromelia pinguin","pinguin","NA (L48), PR, VI","Monocot","Summer","Red","Green","Yellow","Rhizomatous","Moderate","","4.0","Short","Erect","Slight","Yes","Yes","Yes","Medium","Low","4.5","6.5","12","Tolerant","28","Summer","Routinely Available","Yes","Medium","Yes"
"BRCA5","","BRCA5","Bromus carinatus","California brome","NA (L48, AK, CAN)","Monocot","Spring and Summer","Yellow","Green","Brown","Bunch","Rapid","","4.0","Short","Erect","None","Yes","Yes","No","Medium","Low","5.5","8.0","8","Intolerant","17","Early Spring","Routinely Available","No","High","No"
"BRCA6","","BRCA6","Bromus catharticus","rescuegrass","NA (L48, CAN), HI","Monocot","Fall, Winter and Spring","Yellow","Green","Brown","Bunch","Rapid","","3.0","Short","Erect","None","Yes","Yes","No","Low","High","5.5","8.0","12","Intolerant","7","Early Spring","Routinely Available","No","High","No"
